"linea_csv","codigo","descripcion","departamento","existencia","precio_1","moneda","iva","unidad","tipo_origen","conflictos","recomendacion"
"6430","966","JABON EN POLVO LIDER DE 20 KG.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","120","4.242,23","USD $","IVA1","KG","Producto","","apto_con_mapeo"
"6431","96619274857","LECHE DE ALMENDRAS KIRKLAND DE 1 LT.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","2","3.992,24","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6432","970","CHOCRIZO COCIDO  CON AJO MEISTER DE 500 GR.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","-2,65","11.741,88","USD $","IVA1","KG","Producto","existencia_negativa","revisar_antes_de_importar"
"6433","971","CHORIZO COCIDO ROJO MESITER","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","2,664","11.741,88","USD $","IVA1","KG","Producto","","apto_con_mapeo"
"6434","97537063318","PLATOS SELVA NØ 6 DE 10 UNDS.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","-24","727,24","USD $","IVA1","UNI","Producto","existencia_negativa","revisar_antes_de_importar"
"6435","97537063325","PLATOS SELVA NØ 7 DE 10 UNDS.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","-16","924,2","USD $","IVA1","UNI","Producto","existencia_negativa","revisar_antes_de_importar"
"6436","97537063332","PLATOS SELVA NØ 8 DE 10 UNDS.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","-31","1.386,30","USD $","IVA1","UNI","Producto","existencia_negativa","revisar_antes_de_importar"
"6437","97537063370","PLATOS PLASTICOS DELI GRANDE 10 UND.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","0","0,02","Bs.","IVA1","UNI","Producto","","apto_con_mapeo"
"6438","97537063417","PLATOS SELVA DELI  NØ 5 10 UND.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","-19","462,1","USD $","IVA1","UNI","Producto","existencia_negativa","revisar_antes_de_importar"
"6439","97537070019","CUCHARITAS SELVA  25 UND","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","7","696,94","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6440","97537072044","CUCHARAS SELVA DE 20 UNIDADES","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","0","0","Bs.","IVA1","UNI","Producto","precio_venta_ausente_o_cero","revisar_antes_de_importar"
"6441","979","ARROZ INFLADO MACORNA DE CHOCOLATE DE 500 GR.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","7","11.855,51","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6442","980","CEREAL CUBIERTO DE CHOCOLATE TIPO BOLERO DE 1 KG.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","2","12.870,61","USD $","IVA1","UNI","Producto","codigo_duplicado","revisar_antes_de_importar"
"6443","981","CHOCOLATE BLANCO THEOBROMA INDUSTRIAL DE 1 KG.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","0","10.454,06","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6444","982","CHOCOLATE DE LECHE THEOBROMA INDUSTRIAL DE 1 KG","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","17","12.741,83","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6445","983","CHOCOLATE DE LECHE COLONIA INDUSTRIAL DE 1 KG","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","0","11.355,53","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6446","984","CHOCOLATE BLANCO LA COLONIA DE 1 KG.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","0","11.075,24","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6447","985","CHOCOLATE THEOBROMA BITTER DE 1 KILO","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","9","12.741,83","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6448","987","PAPAEL PARA ENVOLVER","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","12","16.476,51","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6449","988","MERMELADA DE FRESA INPA DE 3KG","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","4","19.173,35","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6450","989","MERMELADA DE DURAZNO INPA DE 3 KG.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","3","14.915,97","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6451","990","MERMELADA DE PIÑA INPA DE 3 KG.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","2","14.915,97","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6452","991","MERMELADA DE MANZANA INPA DE 3 KG.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","4","19.173,35","USD $","IVA1","UNI","Producto","codigo_duplicado","revisar_antes_de_importar"
"6453","99176922247","JABON PROTEX FRESH DE 110 GR.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","0","1.106,01","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6454","99176922346","JABON DE AVENA PROTEX DE 110 GR.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","2","1.477,20","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6455","99176922384","JABON PROTEX ALOE DE 110 GR.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","2","1.590,84","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6456","99176922643","JABON PROTEX SPORTS DE 110 GR.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","10","1.590,84","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6457","99176922650","JABON PROTEX MEN 3 PACK DE 110 GR.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","0","3.901,33","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6458","992","MERMELADA DE GUANABANA INPA DE 3 KG.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","3","19.173,35","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6459","10","BOLSAS PLASTICAS GRANDES","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","-11","45,45","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"6460","1011","RACION DE SALSA ROSADA","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","-81","227,26","USD $","IVA1","UNI","Producto","existencia_negativa","revisar_antes_de_importar"
"6487","2020","HARINA DE TRIGO PANADERA LA LUCHA 45 KILOS","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","20","42.422,27","USD $","EXENTO","UNI","Producto","","apto_con_mapeo"
"6488","2021","VELAS BLANCAS PEQUEÑAS","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","217","265,14","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
