"linea_csv","codigo","descripcion","departamento","existencia","precio_1","moneda","iva","unidad","tipo_origen","conflictos","recomendacion"
"8","0","PIZZA PARA CANTINA BANDEJA","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-5","15.150,81","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"9","1","PAN DE BANQUETE 10 UNIDADES","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-124","1.893,85","USD $","EXENTO","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"10","1","PAN CAMPESINO","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-42037","757,54","USD $","EXENTO","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"11","2","PAN DE MANTEQUILLA","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-2428","757,54","USD $","EXENTO","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"12","3","BOLO DE REY PEQUEÑO 500 GR","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-32","4.545,24","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"13","3","PAN DE MANTEQUILLA PEQUEÑO","10601-FABRICACION DE PRODUCTOS DE PANADERIA","0","1","Bs.","EXENTO","UNI","Producto","codigo_duplicado","revisar_antes_de_importar"
"14","4","BOLO DE REY GRANDE DE 1 KL","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-18","5.681,55","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"15","4","PAN FRANCES","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-2396","98,48","USD $","EXENTO","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"16","5","PAN CANILLA","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-4213","378,77","USD $","EXENTO","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"17","5","CANILLON","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-51","1.515,08","USD $","EXENTO","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"18","6","PAN PROTE","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-315","1.931,73","USD $","EXENTO","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"19","6","DULCES SECOS LARGOS DECORADOS","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-5","7.575,41","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"20","7","PAN SANDWICH PEQUEÑO","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-290","2.265,05","USD $","EXENTO","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"21","7","PAI REDONDO GRANDE","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-6","7.196,64","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"22","8","ROSCAS Y CORAZONES DE FRUTAS","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-8","2.651,39","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"23","8","PAN SANDWICH GRANDE","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-965","3.022,59","USD $","EXENTO","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"24","9","PAN INTEGRAL","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-1276","2.272,62","USD $","EXENTO","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"25","10","PAN DE JAMON CON QUESO Y JAMON DE PAVO GRANDE","10601-FABRICACION DE PRODUCTOS DE PANADERIA","0","18.938,52","USD $","IVA1","UNI","Producto","codigo_duplicado","revisar_antes_de_importar"
"26","10","PAN PROTE PEQUEÑO","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-10","757,54","USD $","EXENTO","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"27","10","PAN DE HAMBURGUESA","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-712","2.272,62","USD $","EXENTO","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"28","11","PAN DE PERRO","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-633","2.272,62","USD $","EXENTO","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"29","12","PAN ANDINO","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-833","1.780,22","USD $","EXENTO","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"30","13","PAN CON TOCINETA GRANDE","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-1588","3.333,18","USD $","EXENTO","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"31","13","PAN DE GUAYABA CON QUESO GRANDE","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-469","3.333,18","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"32","13","CACHITOS JAMON CON QUESO  CREMA","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-3799","1.363,57","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"33","14","PAN DE GUAYABA GRANDE","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-571","2.840,78","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"34","14","PAN CON TOCINETA PEQUEÑO","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-4327","1.212,06","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"35","15","PAN DE FRUTAS GRANDE","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-498","2.840,78","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"36","16","PAN DE QUESO GRANDE","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-7597433615","2.840,78","USD $","EXENTO","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"37","16","PAN DE AREQUIPE CON QUESO GRANDE","10601-FABRICACION DE PRODUCTOS DE PANADERIA","0","75","Bs.","IVA1","UNI","Producto","codigo_duplicado","revisar_antes_de_importar"
"38","17","PAN DE AREQUIPE CON QUESO PEQUEÑO","10601-FABRICACION DE PRODUCTOS DE PANADERIA","0","26","Bs.","IVA1","UNI","Producto","codigo_duplicado","revisar_antes_de_importar"
"39","17","PAN DE GUAYABA PEQUEÑO","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-1372","946,93","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"40","18","PAN DE BANQUETE 20 UNDS.","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-56","3.787,70","USD $","EXENTO","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"41","18","PAN DE CHOCOLATE GRANDE","10601-FABRICACION DE PRODUCTOS DE PANADERIA","0","88","Bs.","IVA1","UNI","Producto","codigo_duplicado","revisar_antes_de_importar"
"42","19","COMBO DE 10 MINI PANES DE AREQUIPE","10601-FABRICACION DE PRODUCTOS DE PANADERIA","0","901,47","USD $","IVA1","UNI","Producto","codigo_duplicado","revisar_antes_de_importar"
"43","19","PAN DE ACEMITA","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-2681","757,54","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"44","20","PAN DE COCO","10601-FABRICACION DE PRODUCTOS DE PANADERIA","593","159,08","USD $","IVA1","UNI","Producto","codigo_duplicado","revisar_antes_de_importar"
"45","20","PIZZA  ROMANA DE 1KL","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-9","5.681,55","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"46","21","PIZZA ROMANA DE 500 GR","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-19","4.545,24","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"47","21","PAN DE CHOCOLATE PEQUEÑO","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-1","1.363,57","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"48","22","COMBO DE 8 MINI PANES DE AREQUIPE CON QUESO","10601-FABRICACION DE PRODUCTOS DE PANADERIA","0","901,47","USD $","IVA1","UNI","Producto","codigo_duplicado","revisar_antes_de_importar"
"49","22","PAN DE QUESO PEQUEÑO","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-1191","939,35","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"50","23","PIÑITAS","10601-FABRICACION DE PRODUCTOS DE PANADERIA","211","106,06","USD $","EXENTO","UNI","Producto","codigo_duplicado","revisar_antes_de_importar"
"51","24","COMBO DE 8 MINI PANES DE CHOCOLATE","10601-FABRICACION DE PRODUCTOS DE PANADERIA","0","901,47","USD $","IVA1","UNI","Producto","codigo_duplicado","revisar_antes_de_importar"
"52","24","PAN AMBROSIAS","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-1922","757,54","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"53","25","POLLO RELLENO","","0","18.938,52","USD $","IVA1","KG","Producto","codigo_duplicado|departamento_vacio","revisar_antes_de_importar"
"54","25","PANQUE GRANDE","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-370","4.999,77","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"55","26","PANQUE UNGARO","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-237","4.166,47","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"56","27","PANQUE (PORCION)","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-346","757,54","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"57","28","PAN DE AJO","10601-FABRICACION DE PRODUCTOS DE PANADERIA","0","2.272,62","USD $","IVA1","UNI","Producto","codigo_duplicado","revisar_antes_de_importar"
"58","29","TOSTADITAS PASTA DE ATUN","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-14","795,42","USD $","EXENTO","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"59","29","PANQUESITO RELLENO","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-44","757,54","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"60","30","PAN DE PERRO DE 4 UNDS.","10601-FABRICACION DE PRODUCTOS DE PANADERIA","0","363,62","USD $","EXENTO","UNI","Producto","codigo_duplicado","revisar_antes_de_importar"
"61","30","GOLFEADO","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-35","1.515,08","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"62","31","PAN DE HAMBURGUESA DE 4 UNDS.","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-1","35","Bs.","EXENTO","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"63","31","GOLFEADO CON QUESO","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-9","1.893,85","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"64","32","DULCES SECO","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-3089","1.666,59","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"65","32","COMBO DE 10 MINI PANES CON TOCINETA CON QUESO","10601-FABRICACION DE PRODUCTOS DE PANADERIA","0","901,47","USD $","IVA1","UNI","Producto","codigo_duplicado","revisar_antes_de_importar"
"66","33","PAN DE QUESO CON TOCINETA GRANDE","10601-FABRICACION DE PRODUCTOS DE PANADERIA","41","2.234,74","USD $","EXENTO","UNI","Producto","codigo_duplicado","revisar_antes_de_importar"
"67","33","TORTA DE PAN","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-5045","454,52","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"68","34","SEÑORITAS","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-1289","189,39","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"69","34","PAN DE QUESO CON TOCINETA PEQUEÑO","10601-FABRICACION DE PRODUCTOS DE PANADERIA","120","757,54","USD $","IVA1","UNI","Producto","codigo_duplicado","revisar_antes_de_importar"
"70","35","ROSQUITAS","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-2521","189,39","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"71","36","BISCOCHO","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-5318","189,39","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"72","37","PASTA SECA","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-129,465","9.090,49","USD $","IVA1","KG","Producto","existencia_negativa","revisar_antes_de_importar"
"73","38","PAN DE PIZZA","10601-FABRICACION DE PRODUCTOS DE PANADERIA","13","2.272,62","USD $","IVA1","UNI","Producto","codigo_duplicado","revisar_antes_de_importar"
"74","39","MINI AMBROSIA","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-438","530,28","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"75","40","BRAZO GITANO  POR KILO","10601-FABRICACION DE PRODUCTOS DE PANADERIA","0","9.848,03","USD $","IVA1","KG","Producto","","apto_con_mapeo"
"76","41","CACHITO DE JAMON","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-1773","1.212,06","USD $","IVA1","UNI","Producto","existencia_negativa","revisar_antes_de_importar"
"77","42","BOMBAS","10601-FABRICACION DE PRODUCTOS DE PANADERIA","87","1.212,06","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"78","44","PASTELITO DE JAMON","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-1","909,05","USD $","IVA1","UNI","Producto","existencia_negativa","revisar_antes_de_importar"
"79","45","MINI LUNCH","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-338","1.515,08","USD $","IVA1","UNI","Producto","existencia_negativa","revisar_antes_de_importar"
"80","46","CROASSANT DE CHOCOLATE","10601-FABRICACION DE PRODUCTOS DE PANADERIA","0","1.363,57","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"81","47","PIZZA","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-1475","1.363,57","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"82","47","COMBO 32  DE PAN DE JAMON -QUESO +1 REFRESCO 2 LT","","-1","12.120,65","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa|departamento_vacio","revisar_antes_de_importar"
"83","49","PASTELITO DE POLLO","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-1545","1.363,57","USD $","IVA1","UNI","Producto","existencia_negativa","revisar_antes_de_importar"
"84","50","PASTELITO DE QUESO","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-2471","1.363,57","USD $","IVA1","UNI","Producto","existencia_negativa","revisar_antes_de_importar"
"85","51","PAN DULCE PEQUEÑO","10601-FABRICACION DE PRODUCTOS DE PANADERIA","21","4,5","Bs.","IVA1","UNI","Producto","","apto_con_mapeo"
"86","52","PAN DE AREQUIPE PEQUEÑO","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-71","1.363,57","USD $","IVA1","UNI","Producto","existencia_negativa","revisar_antes_de_importar"
"87","53","PAN DE AREQUIPE GRANDE","10601-FABRICACION DE PRODUCTOS DE PANADERIA","0","75","Bs.","IVA1","UNI","Producto","","apto_con_mapeo"
"88","56","TOSTADITAS 250 GR","10601-FABRICACION DE PRODUCTOS DE PANADERIA","0","795,42","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"89","57","PASAPALOS","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-14,994","22.726,22","USD $","IVA1","KG","Producto","existencia_negativa","revisar_antes_de_importar"
"90","58","PIZZA ( BANDEJA)","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-3","37.877,03","USD $","IVA1","UNI","Producto","existencia_negativa","revisar_antes_de_importar"
"91","59","EMPANADA GALLEGA ( BANDEJA)","10601-FABRICACION DE PRODUCTOS DE PANADERIA","1","45.452,44","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"92","60","MASA PARA PAN DE JAMON","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-2","7.575,41","USD $","IVA1","KG","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"93","60","MASA PARA PIZZA","10601-FABRICACION DE PRODUCTOS DE PANADERIA","3479,3","2.651,39","USD $","IVA1","KG","Producto","codigo_duplicado","revisar_antes_de_importar"
"94","60","PAN DE JAMON DE HOJALDRE PEQUEÑO","","-5","12.120,65","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa|departamento_vacio","revisar_antes_de_importar"
"95","61","SANDUCHON GRANDE","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-24","3.787,70","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"96","61","PAN DE JAMON DE HOJALDRE GRANDE","","0","16.665,89","USD $","IVA1","UNI","Producto","codigo_duplicado|departamento_vacio","revisar_antes_de_importar"
"97","62","PAN RAYADO","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-301,554","2.272,62","USD $","IVA1","KG","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"98","62","SANDUCHON PEQUEÑO","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-3","3.030,16","USD $","EXENTO","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"99","63","DOS PANES DE MANTEQUILLA","10601-FABRICACION DE PRODUCTOS DE PANADERIA","0","200","Bs.","EXENTO","UNI","Producto","codigo_duplicado","revisar_antes_de_importar"
"100","63","PAN DE JAMON GRANDE NORMAL","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-7","15.150,81","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"101","64","COMBO DE  5  BISCOCHO","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-5","606,03","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"102","64","PAN DE JAMON CON QUESO Y JAMON DE PAVO PEQUEÑO","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-3","11.363,11","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"103","64","PANETON DE FRUTAS","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-171","7.575,41","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"104","65","PANETON DE CHOCOLATE","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-953","9.090,49","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"105","65","COMBO DE PAN DE MANTEQUILA MEDIANO DE 3","10601-FABRICACION DE PRODUCTOS DE PANADERIA","0","1.416,60","USD $","IVA1","UNI","Producto","codigo_duplicado","revisar_antes_de_importar"
"106","66","PALMERITAS GRANDES","10601-FABRICACION DE PRODUCTOS DE PANADERIA","0","1.363,57","USD $","EXENTO","UNI","Producto","codigo_duplicado","revisar_antes_de_importar"
"107","66","GALLETONES","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-64","1.212,06","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"108","66","PAN DE MANTEQUILLA MEDIANO POR UNIDAD","10601-FABRICACION DE PRODUCTOS DE PANADERIA","0","3","Bs.","IVA1","UNI","Producto","codigo_duplicado","revisar_antes_de_importar"
"109","67","PALMERAS GRANDES","10601-FABRICACION DE PRODUCTOS DE PANADERIA","20","1.212,06","USD $","IVA1","UNI","Producto","codigo_duplicado","revisar_antes_de_importar"
"110","68","PERNIL POR KILO","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-39,555","18.938,52","USD $","IVA1","KG","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"111","69","POLVOROSAS","10601-FABRICACION DE PRODUCTOS DE PANADERIA","20","1.212,06","USD $","IVA1","UNI","Producto","codigo_duplicado","revisar_antes_de_importar"
"112","69","CACHITOS CON QUESO","10601-FABRICACION DE PRODUCTOS DE PANADERIA","45","1.477,20","USD $","IVA1","UNI","Producto","codigo_duplicado","revisar_antes_de_importar"
"113","70","PAN ACEMITA X PAQUETE DE 4 UNIDADES","10601-FABRICACION DE PRODUCTOS DE PANADERIA","0","44","Bs.","IVA1","UNI","Producto","codigo_duplicado","revisar_antes_de_importar"
"114","70","JAMON DE PIERNA CASTELO BLANCO BANQUETE","10601-FABRICACION DE PRODUCTOS DE PANADERIA","0","5.969,42","USD $","IVA1","KG","Producto","codigo_duplicado","revisar_antes_de_importar"
"115","71","PAN DE GUAYABA X PAQUETE DE 4 UNDS.","10601-FABRICACION DE PRODUCTOS DE PANADERIA","0","84","Bs.","IVA1","UNI","Producto","codigo_duplicado","revisar_antes_de_importar"
"116","71","VASO DOMO DE FRESA","10601-FABRICACION DE PRODUCTOS DE PANADERIA","1","2.499,88","USD $","IVA1","UNI","Producto","codigo_duplicado","revisar_antes_de_importar"
"117","72","PAN DE COCO X PAQUETE DE 4 UNDS.","10601-FABRICACION DE PRODUCTOS DE PANADERIA","0","651,48","USD $","IVA1","UNI","Producto","codigo_duplicado","revisar_antes_de_importar"
"118","73","VASO DOMO CHOCOLATE","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-3","2.499,88","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"119","73","PAN DE JAMON POPULAR","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-212","5.302,78","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"120","74","MINI DULCE FRIO","10601-FABRICACION DE PRODUCTOS DE PANADERIA","0","469,68","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"121","75","PAN DE DIOS","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-1489","2.348,38","USD $","EXENTO","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"122","75","PAN DE CHOCOLATE X PAQUETE DE 4 UNDS.","10601-FABRICACION DE PRODUCTOS DE PANADERIA","0","84","Bs.","IVA1","UNI","Producto","codigo_duplicado","revisar_antes_de_importar"
"123","76","PAN DE DIOS PEQUEÑO","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-70","621,18","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"124","77","DULCES ALFAJOL DE COCO GRANDE","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-15","1.363,57","USD $","IVA1","UNI","Producto","existencia_negativa","revisar_antes_de_importar"
"125","79","CORAZON DE FRUTAS","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-3","1.636,29","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"126","79","QUESILLO","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-95","2.348,38","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"127","80","CAFE PEQUEÑO","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-9982","1.136,31","USD $","IVA1","UNI","Producto","existencia_negativa","revisar_antes_de_importar"
"128","81","CAFE GRANDE","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-21980","1.893,85","USD $","IVA1","UNI","Producto","existencia_negativa","revisar_antes_de_importar"
"129","82","TE NEGRO","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-22","1.893,85","USD $","IVA1","UNI","Producto","existencia_negativa","revisar_antes_de_importar"
"130","83","TE DE MANZANILLA","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-120","1.893,85","USD $","IVA1","UNI","Producto","existencia_negativa","revisar_antes_de_importar"
"131","86","TORTA NEGRA GRANDE 1 KILO","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-5","5.681,55","USD $","IVA1","UNI","Producto","existencia_negativa","revisar_antes_de_importar"
"132","90","TORTA POR KILO","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-910,03","12.120,65","USD $","IVA1","KG","Producto","existencia_negativa","revisar_antes_de_importar"
"133","91","DULCES FRIO GRANDE","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-2182","1.666,59","USD $","IVA1","UNI","Producto","existencia_negativa","revisar_antes_de_importar"
"134","92","DULCE TRES LECHE","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-998","2.424,13","USD $","IVA1","UNI","Producto","existencia_negativa","revisar_antes_de_importar"
"135","94","DULCE FRIO PEQUEÑO","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-4157","749,97","USD $","IVA1","UNI","Producto","existencia_negativa","revisar_antes_de_importar"
"136","95","DULCES DE COPAS","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-147","2.348,38","USD $","IVA1","UNI","Producto","existencia_negativa","revisar_antes_de_importar"
"137","98","ROSCAS PEQUEÑAS","10601-FABRICACION DE PRODUCTOS DE PANADERIA","0","5.302,78","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"138","101","CAMPESINO PICADO","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-1813","757,54","USD $","EXENTO","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"139","102","JUGO  DE NARANJA UPACA DE 2 LT.","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-1","1.560,53","USD $","IVA1","UNI","Producto","existencia_negativa","revisar_antes_de_importar"
"140","103","MEDIA CANILLA CON PERNIL","10601-FABRICACION DE PRODUCTOS DE PANADERIA","0","0,06","Bs.","IVA1","UNI","Producto","codigo_duplicado","revisar_antes_de_importar"
"141","104","SANDWICH PERNIL","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-45","2.272,62","USD $","IVA1","UNI","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"142","105","MEDIO CAMPESINO CON PERNIL","10601-FABRICACION DE PRODUCTOS DE PANADERIA","0","0,08","Bs.","IVA1","UNI","Producto","codigo_duplicado","revisar_antes_de_importar"
"143","106","CAMPESINO COMPLETO CON PERNIL","10601-FABRICACION DE PRODUCTOS DE PANADERIA","0","524,22","USD $","IVA1","UNI","Producto","codigo_duplicado","revisar_antes_de_importar"
"144","107","CANILLA COMPLETA CON PERNIL","10601-FABRICACION DE PRODUCTOS DE PANADERIA","0","0,12","Bs.","IVA1","UNI","Producto","codigo_duplicado","revisar_antes_de_importar"
"145","108","HARINA DE TRIGO DETALLADA POR KILO","10601-FABRICACION DE PRODUCTOS DE PANADERIA","-46,922","1.257,52","USD $","EXENTO","KG","Producto","codigo_duplicado|existencia_negativa","revisar_antes_de_importar"
"146","110","PORCION DE PAN DE JAMON","10601-FABRICACION DE PRODUCTOS DE PANADERIA","0","1.742,34","USD $","IVA1","UNI","Producto","codigo_duplicado","revisar_antes_de_importar"
